date,ndvi_mean
2019-01-01,0.35768998714212974
2019-02-01,0.4260260562632291
2019-03-01,0.41627516600931663
2019-04-01,0.34284798417967854
2019-05-01,0.27673788124582066
2019-06-01,0.2899089390626797
2019-07-01,0.38533253177275517
2019-08-01,0.43511605213010496
2019-09-01,0.38609846807320536
2019-10-01,0.3347669442312281
2019-11-01,0.3285556864313213
2019-12-01,0.3282799198329468
2020-01-01,0.38791311876011675
2020-02-01,0.4295866477828415
2020-03-01,0.44082959262200283
2020-04-01,0.38127370062313615
2020-05-01,0.3040734441007694
2020-06-01,0.305433499419615
2020-07-01,0.38342947984352826
2020-08-01,0.46568511881652025
2020-09-01,0.3700052154847244
2020-10-01,0.2854403263021864
2020-11-01,0.3360960042973944
2020-12-01,0.37574411481270203
2021-01-01,0.34582558409615716
2021-02-01,0.4008191342330968
2021-03-01,0.3750889502498173
2021-04-01,0.3191618833592207
2021-05-01,0.28938116657271234
2021-06-01,0.271590183613841
2021-07-01,0.37169924064201015
2021-08-01,0.3913494717405653
2021-09-01,0.4148817214434438
2021-10-01,0.33335298818415415
2021-11-01,0.2782285341487215
2021-12-01,0.31463580338744385
2022-01-01,0.37006956492876686
2022-02-01,0.421419788201434
2022-03-01,0.4199402679008208
2022-04-01,0.2982341192229078
2022-05-01,0.2489925904808887
2022-06-01,0.30604168679350713
2022-07-01,0.45026185064555097
2022-08-01,0.44178549756779156
2022-09-01,0.37598584615354047
2022-10-01,0.3008637208655527
2022-11-01,0.30407086488627244
2022-12-01,0.32429333487157197
2023-01-01,0.3565492956458387
2023-02-01,0.3636053050494342
2023-03-01,0.3940994914743241
2023-04-01,0.324964532020478
2023-05-01,0.29024681914575307
2023-06-01,0.358799945086879
2023-07-01,0.40963060436263665
2023-08-01,0.39114633359468914
2023-09-01,0.4031600066482895
2023-10-01,0.3772583869324108
2023-11-01,0.34787674622733245
2023-12-01,0.33600952764491
