date,wind_dir_deg_mean,wind_speed_mean
2019-01-01,288.7953027710349,1.1168817240504885
2019-02-01,289.9893975446671,0.5336803350279504
2019-03-01,298.07846176083257,1.3361987324643352
2019-04-01,280.308934897848,1.4016376103419919
2019-05-01,296.2916193826687,1.3074485148816573
2019-06-01,292.87899037687646,0.2025561014769021
2019-07-01,158.82850757760252,1.7758040180800854
2019-08-01,155.61585097975475,1.2043304608020475
2019-09-01,158.90372467833873,1.3508732767859544
2019-10-01,296.38071014794167,0.8130229528078192
2019-11-01,307.00400363234127,0.8566875610622245
2019-12-01,306.0094544301455,0.7304350763083803
2020-01-01,313.4538000409416,0.8636445923212253
2020-02-01,305.4516054028708,0.723570188823994
2020-03-01,249.6443579582541,0.5350297069013686
2020-04-01,279.47723497547463,1.0945277378313956
2020-05-01,244.29466377935327,0.7147519523448971
2020-06-01,164.1694389597586,0.8751357256443144
2020-07-01,148.56496072283983,1.342882001083506
2020-08-01,155.0885746467136,1.8423627436541936
2020-09-01,264.17953713816775,0.17632941858667442
2020-10-01,304.81074250450195,1.042727708591369
2020-11-01,303.85732487889857,1.0668222259911142
2020-12-01,308.67821677243285,1.18077718879738
2021-01-01,324.6764262543719,0.5680717377818727
2021-02-01,273.17337614579907,0.31579045372013154
2021-03-01,277.71644956666574,1.395681678640594
2021-04-01,273.0411856390908,1.5836338991026904
2021-05-01,226.36458848509812,0.5616906208836054
2021-06-01,76.58443848867375,0.45177505004842283
2021-07-01,148.35444091708203,1.5435693016133207
2021-08-01,133.87916429527365,1.204650268732117
2021-09-01,162.8841399921993,1.0981555076977163
2021-10-01,269.0023826720992,0.22859239046847216
2021-11-01,282.5475190041669,0.7906732544766781
2021-12-01,295.3372398024443,0.8271393923261305
2022-01-01,323.7728454849375,0.31153016111552867
2022-02-01,273.84202678917876,0.6865474264547778
2022-03-01,298.4723763409353,1.2070089383601263
2022-04-01,287.92853462888115,0.6851212044123995
2022-05-01,166.8031216779541,0.8928150006270371
2022-06-01,35.829285835211024,0.5881798266318684
2022-07-01,159.33778356268925,1.5099027478725144
2022-08-01,114.29869887939327,0.6600874701571214
2022-09-01,142.59986433608168,0.8102920412906928
2022-10-01,227.32477985216994,0.13081015834309806
2022-11-01,288.14987310836136,1.1387448319952729
2022-12-01,318.2543354002214,1.2936995025843177
2023-01-01,321.94752068720925,0.9852481970203295
2023-02-01,289.69402968207635,1.4403869915322123
2023-03-01,264.74244789466786,0.6171546717843536
2023-04-01,293.7562945768606,0.5028537051235256
2023-05-01,227.83948266400952,0.738142520074243
2023-06-01,116.68431808385041,0.77784074231535
2023-07-01,169.7424417753764,1.3690059245400363
2023-08-01,103.01013674637166,0.9154759731886863
2023-09-01,116.11545711476671,0.35421740551199565
2023-10-01,282.46263542755105,0.4039742276746311
2023-11-01,293.30703585528016,0.8495606409725782
2023-12-01,312.133880220073,0.8775805062762106
